DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R4743,AUB,AUB,Parallel,Active,00 Block AUBURN SHORES MR SE,Residential Street,E,0830-1800 SAT-SUN,,,120,0830-1800 SAT-SUN,FR,SE,"MULTILINESTRING ((-113.956301 50.8872332, -113.9563323 50.8872322, -113.9563769 50.887231, -113.9564211 50.88723, -113.9564784 50.8872289, -113.9565291 50.8872282, -113.9565748 50.8872278, -113.9566169 50.8872276, -113.9566675 50.8872276, -113.9567388 50.8872279, -113.956767 50.8872282, -113.9567925 50.8872285, -113.9568244 50.8872289, -113.9568641 50.8872296, -113.9568906 50.8872302, -113.9569171 50.8872308, -113.9569518 50.8872317, -113.9569758 50.8872323, -113.957011 50.8872334, -113.9570783 50.8872355, -113.9571657 50.8872381, -113.9571835 50.8872387))",2b838f69-402e-4600-852a-6f34a056e610
R8001,NN,NN,Parallel,Active,8800 Block 48 AV NW,Residential Street,E,0830-1800 SAT-SUN,,,Permit Required,0830-1800 SAT-SUN,FR,NW,"MULTILINESTRING ((-114.2136152 51.0958211, -114.2136277 51.0958219, -114.2136384 51.0958221, -114.2136491 51.0958224, -114.2136598 51.0958226, -114.2136705 51.0958229, -114.2136812 51.0958231, -114.2138456 51.0958229, -114.2140083 51.0958235, -114.2141695 51.0958231, -114.2143197 51.0958242, -114.2145131 51.0958238, -114.2146679 51.0958239, -114.2147761 51.0958237, -114.2149003 51.0958237, -114.2150076 51.0958238, -114.2151059 51.0958238, -114.2151757 51.0958228, -114.2152272 51.0958226, -114.215328 51.0958225))",c7832877-3397-45c4-bb3e-a070a90dd85a
R6351,F,F,Parallel,Active,1200 Block 17 AV NW,Residential Street,E,0830-2200 MON-FRI,,,60,0830-2200 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0886893 51.0678137, -114.0888115 51.0678138, -114.0895532 51.0678127, -114.0895715 51.0678126, -114.0895855 51.0678124, -114.0895975 51.067812, -114.0896123 51.0678104, -114.0896289 51.067808, -114.0896502 51.0678023, -114.089651 51.0678021, -114.0896667 51.0677954, -114.089679 51.0677889, -114.0896791 51.0677889))",a4255976-5603-4cec-909f-9254599bfba7
R6352,F,F,Parallel,Active,1200 Block 17 AV NW,Residential Street,E,0830-2200 MON-FRI,,,60,0830-2200 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0874572 51.0678018, -114.0874757 51.0678069, -114.0875048 51.0678133, -114.0875487 51.0678147, -114.0876348 51.0678142, -114.088321 51.0678136, -114.0885683 51.0678137))",8660a5ef-2c5b-4d1e-9a3c-b81d76fbf821
R2772,O,O,Parallel,Active,2100 Block 22 AV SW,Residential Street,E,0900-1600 MON-FRI,,,120,0900-1600 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1089014 51.0337378, -114.1089337 51.0337394, -114.1089899 51.033739, -114.1090016 51.0337389, -114.1091563 51.033739, -114.1093164 51.0337384, -114.1094608 51.0337385, -114.109593 51.0337375, -114.1097756 51.0337371, -114.109929 51.0337363, -114.110022 51.0337363, -114.1101562 51.0337362, -114.1103162 51.0337358, -114.1104242 51.0337358, -114.1105312 51.033735))",5723222a-6a60-4759-b64a-6d9f4ebbb463
R2805,O,O,Parallel,Active,2000 Block 22 AV SW,Residential Street,E,0900-1600 MON-FRI,,,120,0900-1600 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1075591 51.0337771, -114.1075605 51.0337619, -114.1075752 51.0337389, -114.1075937 51.0337226, -114.1076258 51.0337077, -114.1076535 51.0337002, -114.1076795 51.0336979, -114.1077082 51.0336977, -114.1077342 51.0337002, -114.1077692 51.033709, -114.1078007 51.0337231, -114.1078373 51.033734, -114.1078644 51.0337382, -114.1078868 51.0337401, -114.1079265 51.0337403, -114.1079305 51.0337403, -114.1080493 51.0337397, -114.1081966 51.0337398, -114.1082885 51.0337403, -114.1083654 51.0337401, -114.1084444 51.0337396, -114.1085191 51.0337398, -114.1085233 51.0337398, -114.1085761 51.0337399, -114.1085936 51.0337394, -114.1086181 51.0337359))",a2035861-fbb6-4343-a0b1-faec1b24a2b8
R2909,O,O,Parallel,Active,2000 Block 21 AV SW,Residential Street,E,0900-1600 MON-FRI,,,120,0900-1600 MON-FRI,FR,SW,"MULTILINESTRING ((-114.106472 51.0345783, -114.1064978 51.0345782, -114.1065184 51.034578, -114.1067341 51.0345776, -114.1069248 51.034578, -114.1070449 51.0345778, -114.1071991 51.0345779, -114.1073222 51.0345777, -114.1074722 51.0345772, -114.1076166 51.0345774, -114.1077571 51.0345772, -114.1079055 51.0345771, -114.1080748 51.0345776, -114.1082013 51.0345774, -114.1083361 51.0345774, -114.1084484 51.0345772, -114.1085242 51.0345776, -114.1085593 51.0345776, -114.1085636 51.0345775, -114.1085872 51.0345778, -114.1086042 51.0345766, -114.1086214 51.0345735))",c7eea7f9-8539-48b2-8ac2-9944f9cd4986
R3434,O,O,Parallel,Active,2100 Block 22 AV SW,Residential Street,E,0900-1600 MON-FRI,,,120,0900-1600 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1106928 51.033735, -114.1108144 51.0337355, -114.110857 51.0337355, -114.1109149 51.0337354, -114.1109376 51.0337352, -114.110975 51.0337344))",af140a7b-9593-4a29-8091-06a90031106c
R1032,H,H,Parallel,Active,3000 Block UNDERHILL DR NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1287554 51.0722668, -114.1288648 51.0722293, -114.1289705 51.0721929, -114.1290752 51.0721572, -114.1291767 51.0721222, -114.1292805 51.072086, -114.1293926 51.0720472, -114.1294051 51.0720429, -114.1294175 51.0720386, -114.12943 51.0720343, -114.1294424 51.0720301, -114.1294549 51.0720258, -114.1294675 51.0720215, -114.1294801 51.0720171, -114.1294927 51.0720128, -114.1295052 51.0720085, -114.1295178 51.0720041, -114.1295303 51.0719999, -114.129543 51.0719958, -114.1295557 51.0719918, -114.1295685 51.0719879, -114.1295813 51.071984, -114.1295934 51.0719806, -114.1296056 51.0719775, -114.129618 51.0719746, -114.1296306 51.0719719, -114.1296432 51.0719695, -114.1296564 51.0719671, -114.1296697 51.0719649, -114.129683 51.0719629, -114.1296963 51.071961, -114.1297098 51.0719592, -114.1297232 51.0719575, -114.1297366 51.0719559, -114.12975 51.0719544, -114.1297635 51.0719531, -114.1297771 51.0719519, -114.1297903 51.0719509, -114.1298035 51.0719501, -114.1298167 51.0719495, -114.12983 51.071949, -114.1298432 51.0719488, -114.1298588 51.0719487, -114.1298745 51.0719489, -114.1298902 51.0719494, -114.1299058 51.07195, -114.1299215 51.0719509, -114.1299351 51.0719518, -114.1299486 51.0719528, -114.1299621 51.071954, -114.1299755 51.0719554, -114.1299889 51.071957, -114.1300023 51.0719589, -114.1300155 51.0719608, -114.1300287 51.0719629, -114.1300418 51.0719652, -114.1300549 51.0719675, -114.1300673 51.0719698, -114.1300797 51.0719722, -114.130092 51.0719747, -114.1301042 51.0719774, -114.1301163 51.0719802, -114.1301272 51.0719829, -114.130138 51.0719858, -114.1301486 51.0719888, -114.1301591 51.0719919, -114.1301696 51.0719952, -114.1301822 51.0719994, -114.1301947 51.0720036, -114.1302071 51.0720079, -114.1302194 51.0720124, -114.1302315 51.072017, -114.130242 51.0720213, -114.1302524 51.0720255, -114.1302629 51.0720298, -114.1302733 51.072034, -114.1302838 51.0720383, -114.1302975 51.0720437, -114.1303112 51.0720491, -114.130325 51.0720545, -114.1303387 51.0720599, -114.1303524 51.0720653, -114.1303658 51.0720705, -114.1303792 51.0720757, -114.1303927 51.0720808, -114.1304062 51.0720858, -114.1304198 51.0720908, -114.1304325 51.0720953, -114.1304452 51.0720998, -114.130458 51.0721041, -114.1304708 51.0721084, -114.1304836 51.0721128, -114.1304978 51.0721175, -114.130512 51.0721222, -114.1305262 51.0721269, -114.1305405 51.0721315, -114.1305548 51.072136, -114.130569 51.0721404, -114.1305833 51.0721447, -114.1305977 51.0721489, -114.1306121 51.072153, -114.1306265 51.0721571, -114.1306409 51.0721611, -114.1306554 51.0721651, -114.1306699 51.0721691, -114.1306844 51.072173, -114.1306989 51.0721769, -114.130717 51.0721816, -114.130735 51.0721863, -114.1307531 51.0721909, -114.1307713 51.0721955, -114.1307895 51.0722, -114.130805 51.0722037, -114.1308205 51.0722074, -114.1308361 51.072211, -114.1308517 51.0722145, -114.1308674 51.072218, -114.1308836 51.0722215, -114.1308999 51.0722249, -114.1309162 51.0722283, -114.1309325 51.0722316, -114.130949 51.0722348, -114.1309752 51.0722398, -114.1310015 51.0722447, -114.1310279 51.0722494, -114.1310543 51.072254, -114.1310808 51.0722584, -114.1310957 51.0722608, -114.1311106 51.0722631, -114.1311256 51.0722655, -114.1311405 51.0722678, -114.1311554 51.0722702, -114.1311672 51.0722722))",ea308f23-85e1-4980-9342-60554d8a12cf
R3309,P,P,Parallel,Active,1000 Block ROYAL AV SW,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0843673 51.0354844, -114.0843736 51.0354866, -114.0843801 51.0354885, -114.0843865 51.0354904, -114.084393 51.0354921, -114.0843995 51.0354938, -114.084406 51.0354954, -114.0844127 51.0354969, -114.0845648 51.0355356, -114.0845935 51.035542, -114.0846077 51.0355452, -114.0846219 51.0355484, -114.084636 51.0355515, -114.0846502 51.0355547, -114.0846644 51.0355579, -114.0846814 51.0355615, -114.0846985 51.0355648, -114.0847157 51.035568, -114.0847329 51.0355712, -114.0847501 51.0355744, -114.084762 51.0355768, -114.084774 51.0355792, -114.084786 51.0355815, -114.0847979 51.0355839, -114.0848099 51.0355862, -114.0848253 51.035589, -114.0848407 51.0355916, -114.0848561 51.0355941, -114.0848716 51.0355964, -114.0848871 51.0355988, -114.0849023 51.0356011, -114.0849175 51.0356034, -114.0849328 51.0356056, -114.0849481 51.0356077, -114.0849634 51.0356098, -114.0849796 51.0356119, -114.0849959 51.0356138, -114.0850123 51.0356156, -114.0850287 51.0356171, -114.0850451 51.0356185, -114.0850578 51.0356194, -114.0850704 51.0356204, -114.0850831 51.0356213, -114.0850958 51.0356221, -114.0851085 51.0356229, -114.0851247 51.035624, -114.085141 51.035625, -114.0851573 51.035626, -114.0851736 51.035627, -114.0851899 51.035628, -114.0852025 51.0356288, -114.085215 51.0356296, -114.0852276 51.0356304, -114.0852402 51.0356313, -114.0852527 51.035632, -114.0852696 51.035633, -114.0852865 51.0356338, -114.0853034 51.0356344, -114.0853203 51.0356348, -114.0853372 51.035635, -114.0853492 51.035635, -114.0853612 51.0356349, -114.0853733 51.0356347, -114.0853853 51.0356345, -114.0853973 51.0356342, -114.0854123 51.0356338, -114.0854272 51.0356335, -114.0854422 51.0356331, -114.0854572 51.0356327, -114.0854722 51.0356321, -114.0854857 51.0356316, -114.0854993 51.035631, -114.0855129 51.0356303, -114.0855264 51.0356297, -114.08554 51.035629, -114.0855528 51.0356283, -114.0855657 51.0356277, -114.0855785 51.035627, -114.0855914 51.0356264, -114.0856042 51.0356257, -114.0856181 51.035625, -114.085632 51.0356243, -114.0856459 51.0356236, -114.0856598 51.0356229, -114.0856737 51.0356222, -114.0856898 51.0356215, -114.0857059 51.0356209, -114.085722 51.0356204, -114.0857381 51.0356199, -114.0857542 51.0356195, -114.0857649 51.0356192, -114.0857756 51.035619, -114.0857864 51.0356187, -114.0857971 51.0356185, -114.0858078 51.0356183, -114.0858174 51.0356181, -114.085827 51.0356179, -114.0858366 51.0356178, -114.0858462 51.0356177, -114.0858558 51.0356176, -114.086016 51.035617, -114.0861762 51.0356164, -114.0863365 51.0356158, -114.0864967 51.0356152, -114.086657 51.0356146, -114.0866646 51.0356146, -114.0866721 51.0356145, -114.0866797 51.0356143, -114.0866873 51.0356141, -114.0866949 51.0356139, -114.086703 51.0356136, -114.0867111 51.0356132, -114.0867191 51.0356128, -114.0867272 51.0356122, -114.0867352 51.0356117, -114.0867442 51.0356109, -114.0867532 51.0356099, -114.086762 51.0356087, -114.0867708 51.0356073, -114.0867796 51.0356057, -114.0867891 51.0356038))",f9d38df0-4431-4282-b0c8-611f288c9d3c
R3320,P,P,Parallel,Active,1000 Block PROSPECT AV SW,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0843065 51.0323697, -114.0844027 51.0323698, -114.08446 51.0323698, -114.084553 51.0323699, -114.0846177 51.0323698, -114.084691 51.0323699, -114.0847807 51.0323703, -114.0848653 51.0323707, -114.0849793 51.0323709, -114.0850551 51.0323716, -114.0851308 51.0323719, -114.0852097 51.0323715, -114.0852977 51.0323712, -114.0853825 51.0323702, -114.0854507 51.0323703, -114.085456 51.0323703, -114.085469 51.0323705, -114.085482 51.0323707, -114.085495 51.0323708, -114.085508 51.0323709, -114.085521 51.032371, -114.0855285 51.032371, -114.0855361 51.032371, -114.0855436 51.032371, -114.0855512 51.032371, -114.0855587 51.032371, -114.0855672 51.0323711, -114.0855757 51.0323711, -114.0855841 51.0323712, -114.0855926 51.0323713, -114.0856011 51.0323713, -114.085605 51.0323712, -114.0856088 51.0323709, -114.0856126 51.0323705, -114.0856164 51.0323701, -114.0856203 51.0323696, -114.0856252 51.0323689, -114.08563 51.0323682, -114.0856348 51.0323674, -114.0856396 51.0323665, -114.0856444 51.0323656, -114.0856515 51.0323639, -114.0856584 51.0323621, -114.0856652 51.03236))",9b78af8c-5b9c-40e0-97d0-440e322beab9
R3746,Z,Z,Parallel,Active,1800 Block WESTMOUNT RD NW,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.100833 51.051995, -114.1028993 51.0519903))",35b896e7-c528-40a9-85f2-99b9422966b0
R4162,O,O,Parallel,Active,1900 Block 22 AV SW,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1057543 51.0340182, -114.1058381 51.0340179, -114.1058925 51.034018, -114.1059702 51.0340177, -114.1061264 51.0340161))",b27f347b-ebe1-4ffd-9598-15555a6834d2
R4595,K,K,Parallel,Active,1400 Block GLADSTONE RD NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0925353 51.0537681, -114.0929872 51.0535214))",84dab410-56bd-4c91-a4b8-cc04d8e0bcfa
R4596,K,K,Parallel,Active,1300 Block KENSINGTON CL NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0932383 51.0513403, -114.0936001 51.0512652))",63c12502-0ed5-41e7-a403-a9f2e3af83c1
R4805,WW,WW,Parallel,Active,400 Block MARIPOSA DR NE,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0165072 51.0563222, -114.0166381 51.0563214, -114.0167141 51.0563212, -114.0167569 51.0563206, -114.0167831 51.0563191, -114.0168134 51.056314, -114.0168405 51.0563048, -114.0168696 51.0562894))",e501b024-d7df-47ed-82e8-71ebf816eaf6
R4851,GDL,GDL,Parallel,Active,00 Block GLENVIEW DR SW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1547295 51.0368187, -114.1547888 51.0368187, -114.1548092 51.0368187, -114.1549939 51.036819, -114.1550461 51.0368186, -114.1550865 51.0368177, -114.155116 51.0368157, -114.155138 51.0368129, -114.1551623 51.0368065, -114.1551854 51.0367978))",cb1303a0-9e8d-4a66-9109-04896ac6a55b
R5110,R,R,Parallel,Active,1100 Block GLENMORE TR SW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0859681 50.9938676, -114.0859703 50.9938696, -114.0859948 50.9938839, -114.0860225 50.9938924, -114.0860471 50.9938965, -114.086078 50.9938988, -114.0861539 50.9938994, -114.0863036 50.9939001, -114.0865263 50.993901, -114.0867329 50.9938993, -114.0868765 50.993898, -114.0869882 50.9938962))",13b292ed-19f3-4187-8b36-9797240bf232
R6742,CFC,CFC,Parallel,Active,00 Block BURMA STAR RD SW,Residential Street,E,0900-1700 MON-FRI,,,120,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1303344 51.015814, -114.1303886 51.0158337, -114.1309443 51.0160357, -114.1309548 51.01604, -114.1309644 51.0160451, -114.1309729 51.0160508))",7b8b1140-8757-4153-91b9-cfdb06f08f8d
R6924,H,H,Parallel,Active,3300 Block UNDERHILL DR NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1340509 51.072311, -114.134097 51.0723109, -114.1342087 51.0723108, -114.1343433 51.0723106, -114.1344715 51.0723106, -114.1346167 51.0723109, -114.1347562 51.0723105, -114.1348886 51.0723099, -114.135022 51.0723095, -114.1351405 51.0723099, -114.1352932 51.0723103, -114.1354433 51.0723103, -114.1355756 51.0723094, -114.1357135 51.0723093, -114.1357567 51.0723094, -114.1358166 51.0723071))",b5b510e1-7477-491f-8879-63b44dec4f0f
R6925,H,H,Parallel,Active,3100 Block UNDERHILL DR NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1318534 51.0723138, -114.1319324 51.0723137, -114.1320401 51.0723134, -114.1321362 51.0723132, -114.1322431 51.0723133, -114.1322982 51.0723133, -114.1324479 51.0723134, -114.1325513 51.072313, -114.1326532 51.0723125, -114.1327521 51.0723125, -114.1328641 51.0723125, -114.1329755 51.0723123, -114.1331207 51.0723118, -114.1332594 51.0723122, -114.1333756 51.0723122, -114.1334841 51.0723121, -114.133598 51.0723116, -114.1337165 51.0723117, -114.133838 51.0723116, -114.1339488 51.0723112, -114.1340509 51.072311))",6f554ff0-6265-4fc6-884a-26299b18f15e
R6926,H,H,Parallel,Active,2900 Block UNDERHILL DR NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1277536 51.0726132, -114.1277594 51.0726114, -114.1278149 51.072592, -114.1278895 51.0725661, -114.1279797 51.0725349, -114.1280688 51.072504, -114.1281601 51.0724732, -114.1282451 51.0724443, -114.1283389 51.072411, -114.1284416 51.0723753, -114.1285456 51.0723393, -114.1286491 51.0723038, -114.1287554 51.0722668))",703f9fd1-9998-484e-8d85-9da5b121ad16
R6949,H,H,Parallel,Active,3100 Block UNDERHILL DR NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1311672 51.0722722, -114.131179 51.0722743, -114.1311908 51.0722764, -114.1312027 51.0722784, -114.1312146 51.07228, -114.1312312 51.0722818, -114.1312479 51.0722833, -114.1312646 51.0722848, -114.1312812 51.0722862, -114.1312979 51.0722878, -114.1313228 51.0722902, -114.1313476 51.0722926, -114.1313725 51.0722951, -114.1313974 51.0722975, -114.1314223 51.0722998, -114.1314396 51.0723012, -114.131457 51.0723025, -114.1314744 51.0723036, -114.1314918 51.0723046, -114.1315092 51.0723056, -114.1315272 51.0723066, -114.1315453 51.0723076, -114.1315633 51.0723086, -114.1315813 51.0723095, -114.1315993 51.0723103, -114.1316192 51.0723111, -114.131639 51.0723119, -114.1316589 51.0723125, -114.1316788 51.072313, -114.1316987 51.0723132, -114.1317173 51.0723134, -114.131736 51.0723135, -114.1317547 51.0723136, -114.1317734 51.0723138, -114.1317921 51.0723139, -114.1318534 51.0723138))",a31b3b14-7251-4b12-8ec2-18fc5c473d56
R888,F,F,Parallel,Active,1200 Block 18 AV NW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0874496 51.0686937, -114.087465 51.0686999, -114.0874878 51.0687051, -114.0875087 51.068708, -114.087979 51.0687032, -114.0896307 51.0687047, -114.0896654 51.0686968))",e8d590bb-805a-4899-ab85-7a17e4eae48f
R922,GDL,GDL,Parallel,Active,00 Block GLENVIEW DR SW,Residential Street,E,0900-1700 MON-FRI,,,Permit Required,0900-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1542483 51.0368176, -114.1546676 51.0368187))",a4796e2b-ac03-4992-bdd7-8546b3ceaf5c
R2942,H,H,Parallel,Active,2300 Block UXBRIDGE DR NW,Residential Street,E,0900-1700 MON-SUN,,,120,0900-1700,FR,NW,"MULTILINESTRING ((-114.1359741 51.0714385, -114.1360366 51.0714385, -114.1377585 51.0714326))",dca00af6-59d7-4af3-9589-cc2d24d1eeaa
R2769,O,O,Parallel,Active,2300 Block 21 AV SW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1138632 51.0345695, -114.113892 51.0345714, -114.1139011 51.0345713, -114.1139945 51.0345706, -114.1142458 51.0345712, -114.1144516 51.0345717, -114.1146787 51.0345714, -114.1149183 51.0345713, -114.1149389 51.034572, -114.1149979 51.034572, -114.1150497 51.0345716, -114.115073 51.0345717, -114.1152347 51.0345721, -114.1153578 51.0345712, -114.1155285 51.0345713, -114.1156737 51.0345715, -114.1157537 51.0345718, -114.1158239 51.0345715, -114.1158759 51.0345714, -114.1159324 51.0345704, -114.1159505 51.0345698, -114.1159714 51.0345673, -114.1160002 51.0345589, -114.1160306 51.0345444))",e8d4011d-e057-4eb9-941d-2917f1abf7e2
R3567,G,G,Parallel,Active,900 Block 2 AV NE,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0410717 51.0546118, -114.0415296 51.0546131))",028d8e22-3e88-4770-b237-bc909594fb0b
R4086,C,C,Parallel,Active,700 Block 12 AV SW,Arterial Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0771979 51.0417573, -114.0768542 51.0417476))",6442964c-ccfa-44c9-aeef-0e03b395704e
R4166,C,C,Parallel,Active,700 Block 12 AV SW,Arterial Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0779548 51.0417776, -114.0774098 51.0417624))",ab5e0583-f8d1-48fb-9d7f-05dc94c91fc3
R5109,R,R,Parallel,Active,1200 Block GLENMORE TR SW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0873793 50.9938903, -114.0874293 50.9938891, -114.0875759 50.9938854, -114.087753 50.9938806, -114.0879322 50.9938752, -114.0881329 50.993869, -114.0884103 50.9938619, -114.0884656 50.9938613, -114.0886014 50.9938608))",691cd02c-139f-4049-a0c9-5219da09599c
R6342,F,F,Parallel,Active,1400 Block 17 AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0925881 51.0678096, -114.0926493 51.06781, -114.0927284 51.0678108, -114.0928433 51.0678111, -114.0929825 51.0678109, -114.0930987 51.0678101, -114.093238 51.0678104, -114.0933503 51.0678104, -114.0934867 51.0678098, -114.0936107 51.06781, -114.0936923 51.0678094))",12c97e2a-0c0b-422d-99db-dade6204568f
R6360,F,F,Parallel,Active,1100 Block 17 AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0850821 51.0677918, -114.0851057 51.0678019, -114.0851316 51.0678093, -114.0851592 51.067814, -114.0851876 51.0678157, -114.0853526 51.067816, -114.0856576 51.0678157, -114.0860839 51.0678151, -114.086514 51.0678147, -114.0869957 51.0678145, -114.0870759 51.0678146, -114.0871293 51.0678145, -114.0871444 51.0678139, -114.0871572 51.0678115, -114.0871709 51.0678095))",7b38a3db-34ab-453a-9770-a14717602002
R6409,F,F,Parallel,Active,1100 Block 19 AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.085022 51.0695863, -114.0850705 51.0696001, -114.0850838 51.0696015, -114.0850993 51.0696019, -114.0857958 51.0696015, -114.0863296 51.0696015, -114.0866954 51.0696002, -114.0871325 51.0695992, -114.0871448 51.0695985, -114.0871538 51.0695978, -114.0871631 51.0695967, -114.087173 51.0695945, -114.0871854 51.0695915, -114.0871967 51.0695882, -114.0872107 51.0695825))",d8c85fa9-aed5-4d7b-8d7c-0cf0479b108d
R6773,C,C,Parallel,Active,1000 Block 12 AV SW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,SW,"MULTILINESTRING ((-114.084214 51.041952, -114.0842266 51.0419524, -114.0845208 51.0419607, -114.0846411 51.0419642, -114.0846482 51.0419644, -114.0851053 51.0419777, -114.0851141 51.0419779, -114.0851268 51.0419783, -114.0853814 51.0419855, -114.08563 51.0419923, -114.0856392 51.0419925, -114.0856685 51.0419933, -114.0860386 51.042004))",7f2d5cf8-4710-4f64-b507-a27b414e4de5
R8097,NA,NA,Parallel,Active,4000 Block KOVITZ AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1453512 51.0793165, -114.1453706 51.0793093, -114.145384 51.0793039, -114.1453986 51.0793, -114.1454141 51.0792978, -114.145573 51.0792814, -114.1457308 51.0792613, -114.1458873 51.0792374, -114.1460422 51.0792097, -114.1460447 51.0792092, -114.1460627 51.0792057, -114.1460654 51.0792052, -114.1460832 51.0792017, -114.1461985 51.0791776, -114.1463127 51.0791515, -114.1464256 51.0791232, -114.1464408 51.0791202, -114.1464565 51.0791189, -114.1464723 51.0791192, -114.146476 51.0791195))",a955eca8-f2a0-43c7-8926-43eb74708986
R8100,NA,NA,Parallel,Active,4000 Block NORFORD AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1453905 51.0802292, -114.1454152 51.0802253, -114.1454822 51.0802206, -114.1456766 51.0802038, -114.1458699 51.0801829, -114.1460619 51.0801578, -114.1462563 51.0801279, -114.146449 51.0800938, -114.1466396 51.0800554, -114.1468279 51.0800129, -114.1470138 51.0799662, -114.147029 51.0799631, -114.1470448 51.0799617, -114.1470608 51.0799621, -114.147073 51.0799625, -114.1470853 51.0799619, -114.1470973 51.0799602))",6112e3ef-3a5d-428c-9359-cefa580d2e5d
R8107,NA,NA,Parallel,Active,4200 Block NORFORD AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1496064 51.0790435, -114.1496243 51.0790349, -114.1503387 51.0787694))",b50dd70b-d44c-467e-8d6b-48ff804af3d1
R8109,NA,NA,Parallel,Active,4200 Block KOVITZ AV NW,Residential Street,E,0900-1800 MON-FRI,,,120,0900-1800 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1488817 51.0782412, -114.1489318 51.0782226, -114.1497394 51.0779225, -114.1497502 51.0779191, -114.1497616 51.0779166, -114.1497735 51.0779151, -114.1497856 51.0779145, -114.1497974 51.077914))",59105660-742b-49ad-9e8b-60e0347b4b79
